Gene,Mean_AD,Mean_Normal,log2FoldChange,p_value,adj_p_value
204324_s_at,0.8351386896766715,0.6341300887885246,0.20100860088814687,8.440503708026333e-13,1.8969597901499675e-10
204338_s_at,0.3465400088881441,0.6387684312969941,-0.29222842240885,1.3232559835837809e-11,1.6806274193363028e-09
204548_at,0.41004082342491066,0.6131471100043611,-0.2031062865794504,5.66029870839877e-11,5.461588221939612e-09
205279_s_at,0.5406282944058114,0.7567102539464639,-0.21608195954065246,6.745686365738592e-11,6.286726441844399e-09
205540_s_at,0.3024760440744614,0.532721421358984,-0.23024537728452266,1.8142509234381067e-12,3.46439460425613e-10
205738_s_at,0.44387259080358626,0.672921546937391,-0.22904895613380477,5.30595484560008e-13,1.3668590187865904e-10
205787_x_at,0.8652989782060864,0.6649399832610927,0.20035899494499365,3.368516175556659e-12,5.609993424480392e-10
206013_s_at,0.46845123074074024,0.6961590516709771,-0.2277078209302369,5.042945852501135e-11,4.980296597516175e-09
206281_at,0.38671381979508923,0.6291081938774046,-0.24239437408231534,2.0759913478583318e-11,2.4225665700980144e-09
206375_s_at,0.4299894398636969,0.6510484184127728,-0.2210589785490759,1.2966565367313555e-09,6.630552756602015e-08
206456_at,0.5044248313800901,0.7251190853757955,-0.22069425399570541,6.673813938657288e-09,2.542437744420465e-07
206547_s_at,0.3830006301915558,0.6161632916051029,-0.23316266141354708,8.242453957130798e-11,7.415900131149659e-09
207026_s_at,0.4665057408724154,0.6792272405012493,-0.21272149962883385,2.7621973955595926e-11,3.0886128209641513e-09
207124_s_at,0.37009147147778554,0.6101481145924821,-0.24005664311469654,3.481715751552822e-11,3.699179354796795e-09
207232_s_at,0.4339143942501761,0.7131440112334476,-0.27922961698327153,4.135867997823531e-17,1.4117009935321032e-13
207791_s_at,0.3877942003762938,0.6341762760066706,-0.24638207563037678,1.0447969060324224e-10,9.042708942812787e-09
207826_s_at,0.6761840680151743,0.43524124044256296,0.24094282757261132,6.600274562811851e-10,3.8551956652282734e-08
207877_s_at,0.33148292795071516,0.593240780789369,-0.2617578528386539,1.330350350273509e-11,1.6857174867630432e-09
207949_s_at,0.433359151844011,0.6449312841167948,-0.21157213227278376,5.3581923118188955e-12,8.313265816061515e-10
208621_s_at,0.5370558157057039,0.32096952908713466,0.21608628661856927,3.5917891652498637e-10,2.3921753863633024e-08
208696_at,0.4957340079734361,0.7139124265143029,-0.21817841854086678,4.574458618135165e-10,2.8982007948052876e-08
208846_s_at,0.6192936267524969,0.8213597886708288,-0.20206616191833193,2.1586871274061874e-07,4.580123546582522e-06
208965_s_at,0.6708568288057787,0.4695082470369598,0.20134858176881887,7.226391319627232e-09,2.7142703517111556e-07
209279_s_at,0.3764770898185353,0.5809056795988962,-0.20442858978036088,9.611546855568947e-11,8.439154476257025e-09
209372_x_at,0.3942147425931159,0.6349354023382127,-0.24072065974509677,1.8537138800416842e-10,1.4198720354939201e-08
209382_at,0.4257385866941529,0.6431856613565968,-0.21744707466244395,1.7128824311141777e-13,6.154318961213065e-11
209421_at,0.39486676112088537,0.6049212154378243,-0.21005445431693892,8.130347603742177e-09,2.980017944182359e-07
209507_at,0.3687438386822227,0.601276947984833,-0.23253310930261029,2.509720661857029e-09,1.1327551612065945e-07
209902_at,0.5163765394154038,0.7250587414993369,-0.20868220208393307,7.495536695746666e-08,1.8661995842669107e-06
209953_s_at,0.3817345472253796,0.6467997345779887,-0.2650651873526091,3.8750889692737664e-14,2.0546624648441573e-11
210156_s_at,0.4735469280141558,0.6857971202218047,-0.2122501922076489,3.6628528933568656e-12,6.025282682677666e-10
210232_at,0.6301535317337599,0.8346634179927858,-0.20450988625902589,2.8705444639061305e-12,4.976795073247794e-10
210338_s_at,0.5964349855046635,0.8131350085594463,-0.21670002305478286,2.668405634015784e-08,8.02031094054335e-07
210425_x_at,0.5460019902645444,0.7922393316013554,-0.24623734133681097,1.9612026233546738e-14,1.2454320798752186e-11
210550_s_at,0.2901842747501153,0.5019580593513747,-0.2117737846012594,3.798920525522906e-09,1.5910310326716448e-07
210640_s_at,0.7697633911573454,0.5623508763049495,0.20741251485239587,1.5130185710205818e-12,2.993858087650255e-10
