Gene,Mean_AD,Mean_Normal,log2FoldChange,p_value,adj_p_value,probe_id,gene_symbol,gene_title
222351_at,0.6944851165837247,0.4814540363869268,0.2130310801967979,1.6651486042481277e-08,5.453741972062643e-07,222351_at,PPP2R1B,"protein phosphatase 2, regulatory subunit A, beta"
50221_at,0.7834738459396776,0.5504032573613875,0.2330705885782901,4.688804930992321e-15,4.572673280290778e-12,50221_at,TFEB,transcription factor EB
222425_s_at,0.4539462202589888,0.6833435121618117,-0.2293972919028228,9.098071679226129e-14,3.735887132462983e-11,222425_s_at,POLDIP2,"polymerase (DNA-directed), delta interacting protein 2"
222474_s_at,0.4081566066505744,0.6111297874703869,-0.2029731808198124,7.82602228201118e-12,1.0987212207904283e-09,222474_s_at,TOMM22,translocase of outer mitochondrial membrane 22 homolog (yeast)
222614_at,0.2973754701137672,0.5488841825109385,-0.2515087123971713,1.341049395440553e-12,2.732788456462497e-10,,,
223156_at,0.5785826952785992,0.7847189895062266,-0.2061362942276274,2.1578383722739468e-10,1.5989962961329317e-08,223156_at,MRPS23,mitochondrial ribosomal protein S23
223219_s_at,0.3792725324307701,0.5946895426108929,-0.2154170101801227,1.0862590054663203e-13,4.267903817664183e-11,223219_s_at,CNOT10,"CCR4-NOT transcription complex, subunit 10"
223229_at,0.3833548777484447,0.5837838764617564,-0.2004289987133117,1.1150743894943779e-09,5.9123842362579094e-08,223229_at,UBE2T,ubiquitin-conjugating enzyme E2T (putative)
223708_at,0.4043765776310742,0.6861212991346072,-0.2817447215035329,1.941789169681143e-11,2.310390673721051e-09,223708_at,C1QTNF4,C1q and tumor necrosis factor related protein 4
223786_at,0.4270378463890948,0.2247192957563742,0.2023185506327205,7.523499798319888e-08,1.870190689511352e-06,223786_at,CHST6,carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6
224163_s_at,0.498902655665038,0.6994802259135018,-0.2005775702484637,3.0080931598711274e-08,8.837062492740284e-07,224163_s_at,DMAP1,DNA methyltransferase 1 associated protein 1
224368_s_at,0.3998913129902775,0.6067861279687007,-0.2068948149784231,2.2565184999062827e-08,7.005983219748824e-07,224368_s_at,NDRG3,NDRG family member 3
224414_s_at,0.5336177745579703,0.3328632646582656,0.2007545098997047,7.319606369937587e-11,6.707141991298682e-09,224414_s_at,CARD6,"caspase recruitment domain family, member 6"
224509_s_at,0.4702524404293363,0.7234362896987452,-0.2531838492694088,4.637160551928474e-12,7.426664200072426e-10,224509_s_at,RTN4IP1,reticulon 4 interacting protein 1
225239_at,0.9683168028805396,0.7270476694334842,0.2412691334470554,2.7490021070062897e-18,1.8766406508741814e-14,225239_at,MIR612 /// NEAT1,microRNA 612 /// nuclear paraspeckle assembly transcript 1 (non-protein coding)
227062_at,0.9463716343551332,0.7227876779770808,0.2235839563780524,2.5214917771496698e-18,1.8766406508741814e-14,227062_at,MIR612 /// NEAT1,microRNA 612 /// nuclear paraspeckle assembly transcript 1 (non-protein coding)
227123_at,0.4681555463296332,0.6739580342543707,-0.2058024879247375,4.3508765303335846e-11,4.424849533540187e-09,227123_at,RAB3B,"RAB3B, member RAS oncogene family"
227697_at,0.6664203415218231,0.4578398122838601,0.2085805292379629,3.8064003739733117e-07,7.354348687340252e-06,227697_at,SOCS3,suppressor of cytokine signaling 3
227944_at,0.4735474991653405,0.7151588412249728,-0.2416113420596322,2.1683365597904865e-17,8.992509672246622e-14,227944_at,PTPN3,"protein tyrosine phosphatase, non-receptor type 3"
229015_at,0.4548678178919647,0.6945608292047601,-0.2396930113127954,1.2227130672726533e-13,4.702537235419818e-11,229015_at,LOC286367,FP944
229218_at,0.5243774691659321,0.3069821649144895,0.2173953042514425,7.966763496974301e-09,2.9279196154795253e-07,229218_at,COL1A2,"collagen, type I, alpha 2"
229259_at,0.5929338089162961,0.3873889557825634,0.2055448531337327,6.3280432577026374e-09,2.426920129444621e-07,229259_at,GFAP,glial fibrillary acidic protein
229289_at,0.289214033840122,0.5081141805701521,-0.21890014673003,1.360596640453499e-10,1.1214474498526864e-08,229289_at,FAM71E1,"family with sequence similarity 71, member E1"
229676_at,0.4335179017570681,0.6971659711279795,-0.2636480693709113,1.455796200318944e-14,1.0891150395618971e-11,229676_at,MTPAP,mitochondrial poly(A) polymerase
229917_at,0.4535870767054371,0.6602865284745048,-0.2066994517690676,1.0499428287737258e-11,1.39854945628828e-09,229917_at,AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
230237_at,0.2957395019840723,0.585542945310482,-0.2898034433264096,1.513377288588251e-13,5.5469848229308825e-11,230237_at,ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary)
